scenario,replicate,n,sea_arrival_rate,disorientation_rate,predation_rate,exhaustion_rate,censored_rate,median_time_to_sea_s,median_path_length_m,median_efficiency,mean_abs_initial_heading_deg,median_max_landward_m
shielded_70pct,6,30.0,0.9333333333333333,0.5,0.06666666666666667,0.0,0.0,522.5,61.41599923110715,0.6066243877546773,19.015572173317263,0.0
shielded_70pct,7,30.0,0.9333333333333333,0.4666666666666667,0.06666666666666667,0.0,0.0,482.5,56.39823227814079,0.6638811053374216,23.787348654970845,0.0
amber_proxy,0,30.0,1.0,0.36666666666666664,0.0,0.0,0.0,482.5,57.491378028648406,0.6322015903543324,24.940637355015802,0.0
amber_proxy,1,30.0,0.9666666666666667,0.4666666666666667,0.03333333333333333,0.0,0.0,555.0,63.89823227814078,0.5917092031871967,17.992138080032035,0.0
amber_proxy,2,30.0,0.9,0.6,0.1,0.0,0.0,500.0,59.691125496954236,0.6279697425869978,27.340725459694262,0.0
amber_proxy,3,30.0,0.9,0.5333333333333333,0.06666666666666667,0.0,0.03333333333333333,500.0,57.73401871576769,0.644038460053818,23.53518647658216,0.0
amber_proxy,4,30.0,0.9333333333333333,0.5,0.03333333333333333,0.0,0.03333333333333333,530.0,63.18376618407352,0.570916622306728,26.199716871748798,0.0
amber_proxy,5,30.0,0.8333333333333334,0.3333333333333333,0.16666666666666666,0.0,0.0,515.0,56.88046532517441,0.6553883683513394,20.657409332633637,0.0
amber_proxy,6,30.0,0.9333333333333333,0.5,0.03333333333333333,0.0,0.03333333333333333,495.0,60.89823227814078,0.6159771345129497,22.59889305250971,0.0
amber_proxy,7,30.0,0.9,0.5666666666666667,0.1,0.0,0.0,550.0,63.355339059327335,0.6066655643866912,27.533474870138647,0.0
bright_moon_proxy,0,30.0,0.8333333333333334,0.6,0.13333333333333333,0.0,0.03333333333333333,585.0,70.22665940288701,0.5371801084253174,31.609520223173337,0.0
bright_moon_proxy,1,30.0,0.8333333333333334,0.6,0.03333333333333333,0.0,0.13333333333333333,520.0,65.0121933088197,0.5679225734760924,34.58172681428247,0.0
bright_moon_proxy,2,30.0,0.7666666666666667,0.5333333333333333,0.13333333333333333,0.0,0.1,515.0,62.16599923110715,0.5981985138366295,24.38186176877877,0.0
bright_moon_proxy,3,30.0,0.8333333333333334,0.6,0.1,0.0,0.06666666666666667,520.0,66.0624458405139,0.5537749477784277,33.079381037160466,0.0
bright_moon_proxy,4,30.0,0.8333333333333334,0.7333333333333333,0.1,0.0,0.06666666666666667,575.0,67.47665940288698,0.5409095353331381,38.13733411770789,0.0
bright_moon_proxy,5,30.0,0.9,0.6,0.06666666666666667,0.0,0.03333333333333333,470.0,56.43376618407352,0.6467879246193702,34.69609342213406,0.0
bright_moon_proxy,6,30.0,0.7333333333333333,0.6333333333333333,0.26666666666666666,0.0,0.0,485.0,59.944173824159165,0.5993040699828065,26.145731337760125,0.0
bright_moon_proxy,7,30.0,0.8666666666666667,0.6666666666666666,0.13333333333333333,0.0,0.0,580.0,68.9515331370399,0.5450461720529876,41.90127980279206,0.0
combined_mitigation,0,30.0,0.9,0.1,0.1,0.0,0.0,440.0,49.9307178568686,0.7725445999294309,16.124090603766813,0.0
combined_mitigation,1,30.0,0.9666666666666667,0.2,0.03333333333333333,0.0,0.0,410.0,48.16295090390223,0.7495608609758166,17.307222948758866,0.0
combined_mitigation,2,30.0,1.0,0.16666666666666666,0.0,0.0,0.0,415.0,48.066756826189675,0.7742128981781912,15.247019952561134,0.0
combined_mitigation,3,30.0,0.9,0.1,0.1,0.0,0.0,425.0,49.41295090390223,0.760236049774395,15.116140072370438,0.0
combined_mitigation,4,30.0,0.9,0.03333333333333333,0.1,0.0,0.0,430.0,49.523863607376214,0.7791939278114,12.152430381820393,0.0
combined_mitigation,5,30.0,1.0,0.1,0.0,0.0,0.0,417.5,49.30939751330895,0.7475034899352069,13.137596294100465,0.0
combined_mitigation,6,30.0,1.0,0.16666666666666666,0.0,0.0,0.0,420.0,49.04163056034258,0.7697211385770417,14.616253180886277,0.0
combined_mitigation,7,30.0,0.9333333333333333,0.06666666666666667,0.06666666666666667,0.0,0.0,410.0,49.24137802864841,0.7615196666480875,15.677855634383025,0.0
