scenario,replicate,turtle_id,step,time_s,x_m,y_m,outcome
baseline,0,6,6,30.0,8.5,797.5,active
baseline,0,7,6,30.0,10.0,599.5,active
baseline,0,8,6,30.0,10.0,197.0,active
baseline,0,9,6,30.0,6.0,399.0,active
baseline,0,10,6,30.0,11.0,199.0,active
baseline,0,11,6,30.0,11.0,697.5,active
baseline,0,12,6,30.0,6.5,400.0,active
baseline,0,13,6,30.0,10.5,100.5,active
baseline,0,14,6,30.0,10.5,402.0,active
baseline,0,15,6,30.0,10.5,98.5,active
baseline,0,16,6,30.0,10.0,602.5,active
baseline,0,17,6,30.0,10.5,98.0,active
baseline,0,18,6,30.0,9.0,197.5,active
baseline,0,19,6,30.0,10.5,700.0,active
baseline,0,20,6,30.0,10.0,399.0,active
baseline,0,21,6,30.0,11.0,200.0,active
baseline,0,22,6,30.0,11.0,0.5,active
baseline,0,23,6,30.0,10.5,798.5,active
baseline,0,24,6,30.0,10.0,503.0,active
baseline,0,25,6,30.0,12.0,798.5,active
baseline,0,26,6,30.0,9.0,97.5,active
baseline,0,27,6,30.0,11.0,100.0,active
baseline,0,28,6,30.0,11.0,598.5,active
baseline,0,29,6,30.0,9.5,197.5,active
baseline,0,0,7,35.0,6.0,398.5,active
baseline,0,1,7,35.0,10.5,98.5,active
baseline,0,2,7,35.0,10.5,99.0,active
baseline,0,3,7,35.0,10.0,598.0,active
baseline,0,4,7,35.0,10.0,0.5,active
baseline,0,5,7,35.0,11.5,99.0,active
baseline,0,6,7,35.0,8.5,797.0,active
baseline,0,7,7,35.0,10.5,599.5,active
baseline,0,8,7,35.0,10.0,196.5,active
baseline,0,9,7,35.0,5.5,399.0,active
baseline,0,10,7,35.0,11.0,198.5,active
baseline,0,11,7,35.0,11.5,697.0,active
baseline,0,12,7,35.0,6.0,400.0,active
baseline,0,13,7,35.0,11.0,100.5,active
baseline,0,14,7,35.0,10.0,402.5,active
baseline,0,15,7,35.0,10.5,98.0,active
baseline,0,16,7,35.0,10.0,603.0,active
baseline,0,17,7,35.0,11.0,98.0,active
baseline,0,18,7,35.0,9.5,197.5,active
baseline,0,19,7,35.0,10.5,700.0,active
baseline,0,20,7,35.0,10.5,398.5,active
baseline,0,21,7,35.0,11.5,200.0,active
baseline,0,22,7,35.0,11.0,0.0,active
baseline,0,23,7,35.0,11.0,799.0,active
baseline,0,24,7,35.0,10.5,503.5,active
baseline,0,25,7,35.0,12.5,798.0,active
baseline,0,26,7,35.0,9.5,97.5,active
baseline,0,27,7,35.0,11.0,99.5,active
baseline,0,28,7,35.0,11.5,598.5,active
baseline,0,29,7,35.0,9.5,197.0,active
baseline,0,0,8,40.0,6.0,399.0,active
baseline,0,1,8,40.0,11.0,98.0,active
baseline,0,2,8,40.0,10.0,99.0,active
baseline,0,3,8,40.0,10.5,598.0,active
baseline,0,4,8,40.0,10.5,0.0,active
baseline,0,5,8,40.0,12.0,99.0,active
baseline,0,6,8,40.0,9.0,796.5,active
baseline,0,7,8,40.0,11.0,599.0,active
baseline,0,8,8,40.0,9.5,196.0,active
baseline,0,9,8,40.0,5.0,399.0,active
baseline,0,10,8,40.0,11.5,198.0,active
baseline,0,11,8,40.0,12.0,697.0,active
baseline,0,12,8,40.0,6.0,399.5,active
baseline,0,13,8,40.0,11.5,100.0,active
baseline,0,14,8,40.0,9.5,402.5,active
baseline,0,15,8,40.0,10.5,97.5,active
baseline,0,16,8,40.0,10.5,603.5,active
baseline,0,17,8,40.0,11.5,98.5,active
baseline,0,18,8,40.0,10.0,198.0,active
baseline,0,19,8,40.0,11.0,699.5,active
baseline,0,20,8,40.0,11.0,398.0,active
baseline,0,21,8,40.0,12.0,199.5,active
baseline,0,22,8,40.0,11.5,0.5,active
baseline,0,23,8,40.0,11.5,799.0,active
baseline,0,24,8,40.0,11.0,504.0,active
baseline,0,25,8,40.0,13.0,797.5,active
baseline,0,26,8,40.0,10.0,97.0,active
baseline,0,27,8,40.0,11.5,99.0,active
baseline,0,28,8,40.0,12.0,598.0,active
baseline,0,29,8,40.0,9.5,196.5,active
