scenario,replicate,turtle_id,nest_id,outcome,arrival_sea,disoriented,time_s,path_length_m,direct_distance_m,efficiency,initial_heading_deg,abs_initial_heading_deg,max_landward_displacement_m,landward_step_fraction,remaining_energy,start_x_m,start_y_m,end_x_m,end_y_m
baseline,2,15,N4,sea,1,1,690.0,80.25483399593907,37.0,0.46103141901548533,-53.13010235415598,53.13010235415598,1.0,0.1044776119402985,0.7045975592130621,8.0,300.0,45.5,268.5
baseline,2,16,N6,censored,0,1,1800.0,206.08683245815405,39.0,0.18924062025126692,-5.710593137499642,5.710593137499642,4.0,0.3498542274052478,0.2866048521164959,7.5,500.0,10.0,483.5
baseline,2,17,N5,predated,0,1,180.0,21.142135623730947,39.995,1.8917199620603933,-111.80140948635182,111.80140948635182,7.0,0.5,0.8866438552481588,7.5,400.5,3.5,386.5
baseline,2,18,N5,predated,0,1,710.0,82.96194077712563,39.5,0.47612193772220657,-101.30993247402021,101.30993247402021,6.5,0.35251798561151076,0.781452841614529,8.0,400.0,5.5,361.5
baseline,2,19,N5,censored,0,1,1800.0,213.86500705120613,39.5,0.18469594696500505,-131.18592516570965,131.18592516570965,6.0,0.2966101694915254,0.3414466070242007,8.0,400.0,23.0,287.0
baseline,2,20,N6,censored,0,1,1800.0,214.07211383239266,39.0,0.1821815990032918,29.054604099077146,29.054604099077146,4.5,0.3700564971751412,0.2504680571553345,7.5,500.0,6.0,442.0
baseline,2,21,N2,sea,1,1,665.0,77.99747468305834,36.5,0.4679638686805854,-33.690067525979785,33.690067525979785,0.0,0.08661417322834646,0.8681153316291532,8.0,100.0,44.5,70.0
baseline,2,22,N9,sea,1,1,615.0,73.84062043356593,35.01,0.4741292772790057,0.0,0.0,0.0,0.07377049180327869,0.8080926486970452,8.5,799.5,44.5,757.5
baseline,2,23,N2,sea,1,1,550.0,67.87615433949865,37.0075,0.5452209300912693,-36.86989764584402,36.86989764584402,0.0,0.05555555555555555,0.7196134429549126,7.5,100.5,44.0,62.5
baseline,2,24,N8,sea,1,1,610.0,72.34062043356595,36.99,0.5113309752985847,-21.80140948635181,21.80140948635181,1.5,0.1092436974789916,0.7405768187421999,8.5,700.5,45.5,675.0
baseline,2,25,N4,sea,1,1,1430.0,165.66652224137084,37.005,0.22337041605838082,-60.94539590092286,60.94539590092286,0.0,0.21454545454545454,0.481877702347558,8.0,299.5,46.0,218.0
baseline,2,26,N8,predated,0,1,585.0,68.51219330881972,37.5,0.5473478250939683,5.710593137499642,5.710593137499642,0.0,0.13274336283185842,0.7812035296983316,8.0,700.0,35.0,674.5
baseline,2,27,N4,sea,1,1,1115.0,128.9533188057743,37.0,0.28692553509016944,-53.13010235415598,53.13010235415598,0.0,0.19626168224299065,0.6156693399245555,8.0,300.0,45.5,252.5
baseline,2,28,N9,sea,1,1,825.0,97.27564927611044,36.0,0.3700823409342291,-36.86989764584402,36.86989764584402,0.0,0.13043478260869565,0.5500484716939504,7.5,800.0,44.5,758.0
baseline,2,29,N5,censored,0,1,1800.0,216.72896808188503,39.0,0.17994825677970713,-106.69924423399362,106.69924423399362,6.0,0.3455056179775281,0.2980344451601019,8.5,400.0,15.0,299.0
baseline,3,0,N5,predated,0,1,1545.0,177.28784258493053,39.495,0.22277331273338577,-60.94539590092286,60.94539590092286,4.5,0.3063973063973064,0.2767425969898001,8.0,400.5,18.0,297.5
baseline,3,1,N8,predated,0,0,265.0,31.50609665440986,37.5,1.19024582484264,-11.309932474020213,11.309932474020213,0.0,0.058823529411764705,0.7985775622730641,8.0,700.0,26.5,684.5
baseline,3,2,N9,sea,1,1,1170.0,131.41778489984154,35.0,0.2663262055944317,-101.30993247402021,101.30993247402021,1.0,0.167420814479638,0.5417599188822004,8.5,800.0,45.0,739.5
baseline,3,3,N5,censored,0,1,1800.0,213.32947314527337,39.4875,0.18510100558449208,-126.86989764584402,126.86989764584402,4.5,0.24788732394366197,0.30678230747656793,8.0,399.5,33.0,273.5
baseline,3,4,N2,sea,1,1,760.0,90.6543289325508,36.5,0.4026283182478463,-48.81407483429036,48.81407483429036,0.0,0.1342281879194631,0.7581099219138696,8.0,100.0,44.0,50.5
baseline,3,5,N7,sea,1,1,1470.0,173.40916292849022,35.5075,0.20476138284943132,0.0,0.0,0.0,0.2534722222222222,0.3691338609806369,8.5,600.5,46.0,525.0
baseline,3,6,N4,sea,1,1,1515.0,180.11626970967671,37.5,0.20819884877942993,-73.30075576600639,73.30075576600639,0.0,0.15282392026578073,0.32084804187317084,7.5,300.0,45.5,165.0
baseline,3,7,N9,sea,1,1,930.0,109.43250352560294,36.0,0.32896990236157214,-36.86989764584402,36.86989764584402,0.0,0.17582417582417584,0.521593803894771,7.5,800.0,44.5,752.5
baseline,3,8,N5,predated,0,1,780.0,91.8259018078046,39.5,0.43016185218278746,-60.94539590092286,60.94539590092286,5.5,0.3464052287581699,0.7223430487790228,8.0,400.0,4.0,343.5
baseline,3,9,N7,censored,0,1,1800.0,212.950793488833,36.0,0.1690531385687831,-68.19859051364818,68.19859051364818,3.0,0.34560906515580736,0.1861547317267179,8.0,600.0,12.0,483.5
baseline,3,10,N4,sea,1,1,665.0,79.41168824543148,37.0,0.46592637453628993,-90.0,90.0,0.0,0.11627906976744186,0.7724780986811423,8.0,300.0,45.5,260.0
baseline,3,11,N1,sea,1,0,430.0,53.14823227814079,35.0075,0.6586766577069799,-5.710593137499642,5.710593137499642,0.0,0.011627906976744186,0.7380863051128823,8.0,0.5,43.0,0.0
baseline,3,12,N2,sea,1,1,780.0,92.20458146424498,36.5075,0.39594019538125497,5.710593137499642,5.710593137499642,0.0,0.10967741935483871,0.6664625834878248,8.0,100.5,44.0,48.5
baseline,3,13,N9,sea,1,1,785.0,93.2401153701777,36.0,0.38609990836105706,-41.18592516570965,41.18592516570965,0.0,0.14193548387096774,0.7525133771849711,7.5,800.0,44.5,763.5
baseline,3,14,N5,censored,0,1,1800.0,209.98632739476568,39.495,0.18808367425632916,-138.81407483429035,138.81407483429035,6.0,0.32463768115942027,0.21255738458549508,8.0,400.5,10.5,293.0
baseline,3,15,N7,sea,1,1,880.0,104.84671708797599,36.0125,0.34347761189110215,16.69924423399362,16.69924423399362,0.0,0.13372093023255813,0.4867133163690579,8.0,599.5,45.5,550.5
baseline,3,16,N7,sea,1,1,660.0,77.42640687119288,36.0125,0.4651190912153608,-36.86989764584402,36.86989764584402,0.0,0.1,0.6944902687751199,8.0,599.5,45.0,566.5
baseline,3,17,N9,sea,1,1,675.0,80.87615433949868,35.5,0.4389427302759664,-26.56505117707799,26.56505117707799,0.0,0.12686567164179105,0.7314666746283297,8.0,800.0,44.5,763.0
baseline,3,18,N9,sea,1,1,795.0,94.74011537017772,35.5,0.37470927559345873,-73.30075576600639,73.30075576600639,0.0,0.10759493670886076,0.7020352441889827,8.0,800.0,44.5,750.5
baseline,3,19,N9,predated,0,1,720.0,83.8761543394987,35.0,0.41728188751159645,-41.18592516570965,41.18592516570965,0.0,0.25,0.7992813941666818,8.5,800.0,26.5,765.5
baseline,3,20,N6,censored,0,1,1800.0,214.6934341759523,38.9875,0.18159614498526183,-48.81407483429036,48.81407483429036,0.0,0.3502824858757062,0.2603435400814727,7.5,500.5,9.5,418.5
baseline,3,21,N8,sea,1,1,770.0,93.27564927611046,37.4925,0.40195378205319543,-41.18592516570965,41.18592516570965,0.0,0.12418300653594772,0.7297801364102106,8.0,699.5,45.0,648.5
baseline,3,22,N9,sea,1,1,585.0,68.56244584051389,35.5,0.5177761610572952,-11.309932474020213,11.309932474020213,0.0,0.07758620689655173,0.7270488480169557,8.0,800.0,44.5,770.0
baseline,3,23,N4,sea,1,1,820.0,99.84671708797595,37.005,0.37061809420728903,-78.69006752597979,78.69006752597979,0.0,0.15432098765432098,0.5985717062318331,8.0,299.5,46.0,246.0
baseline,3,24,N3,sea,1,1,705.0,83.16904755831217,38.0,0.45690074752097076,-21.80140948635181,21.80140948635181,0.0,0.08633093525179857,0.7001865476294304,8.0,200.0,45.5,159.0
baseline,3,25,N2,sea,1,1,770.0,90.86143571373732,36.5,0.4017105795575886,-73.30075576600639,73.30075576600639,0.0,0.11409395973154363,0.7068465120644736,8.0,100.0,44.0,50.0
baseline,3,26,N8,sea,1,1,765.0,89.53300858899112,37.5,0.41883994060946766,-53.13010235415598,53.13010235415598,1.0,0.08783783783783784,0.6665137482600991,8.0,700.0,45.0,650.5
baseline,3,27,N5,predated,0,1,240.0,28.056349186104036,38.9875,1.3896141561892887,-90.0,90.0,4.5,0.3404255319148936,0.9663404780939481,8.5,399.5,6.5,379.0
baseline,3,28,N2,sea,1,1,685.0,82.49747468305839,35.9925,0.4362860819470804,-29.054604099077146,29.054604099077146,0.0,0.10294117647058823,0.7105699640834182,8.5,99.5,44.0,64.0
baseline,3,29,N4,sea,1,1,890.0,103.81118318204322,37.005,0.3564644854794503,-41.18592516570965,41.18592516570965,0.0,0.12790697674418605,0.7496364246214826,8.0,299.5,46.0,244.5
baseline,4,0,N4,sea,1,1,1430.0,170.90916292849016,37.0,0.2164892704756919,-56.309932474020215,56.309932474020215,0.0,0.20848056537102475,0.4007040071681849,8.0,300.0,46.0,203.5
baseline,4,1,N7,censored,0,1,1800.0,205.91525958290026,36.0075,0.1748656222610039,-68.19859051364818,68.19859051364818,2.0,0.31671554252199413,0.25284984053116405,8.0,600.5,20.5,506.0
baseline,4,2,N9,sea,1,1,575.0,67.51219330881972,35.5,0.5258309389773939,-56.309932474020215,56.309932474020215,0.0,0.08108108108108109,0.6855098058854864,8.0,800.0,44.0,775.5
baseline,4,3,N9,sea,1,0,510.0,58.8198051533946,35.5,0.6035382114480063,-29.054604099077146,29.054604099077146,0.0,0.06060606060606061,0.7958205659869407,8.0,800.0,44.0,787.0
baseline,4,4,N6,censored,0,1,1800.0,209.17261889578094,38.505,0.18408241099273562,-68.19859051364818,68.19859051364818,8.0,0.36857142857142855,0.2746525777488286,8.0,499.5,6.0,473.0
baseline,4,5,N7,sea,1,0,515.0,61.855339059327335,36.0075,0.5821243654563774,-29.054604099077146,29.054604099077146,0.0,0.02912621359223301,0.781542517998517,8.0,600.5,45.0,570.0
baseline,4,6,N8,predated,0,1,415.0,49.16295090390223,37.4925,0.7626169566852443,-60.94539590092286,60.94539590092286,0.0,0.24096385542168675,0.8669221262600362,8.0,699.5,18.5,681.0
baseline,4,7,N6,censored,0,1,1800.0,212.24368670764648,38.505,0.18141882379304142,-21.80140948635181,21.80140948635181,2.5,0.3153409090909091,0.3296952475464235,8.0,499.5,28.0,496.0
baseline,4,8,N9,sea,1,1,595.0,70.54772721475246,35.5,0.5032054383826625,-26.56505117707799,26.56505117707799,0.0,0.08695652173913043,0.7879441123271247,8.0,800.0,44.5,766.5
baseline,4,9,N9,sea,1,1,1650.0,192.84419177103473,35.5,0.18408643617407675,-90.0,90.0,1.0,0.23197492163009403,0.4192082837808024,8.0,800.0,45.5,705.5
baseline,4,10,N5,censored,0,1,1800.0,210.4655121145944,40.0,0.19005489117010665,-106.69924423399362,106.69924423399362,3.5,0.26062322946175637,0.3816328245926154,7.5,400.0,27.0,287.0
baseline,4,11,N3,sea,1,1,705.0,84.41168824543149,37.5,0.444251273484387,-48.81407483429036,48.81407483429036,0.0,0.10071942446043165,0.7002495148421456,8.5,200.0,45.5,154.5
baseline,4,12,N9,sea,1,1,605.0,72.01219330881975,35.51,0.49311093536226014,-11.309932474020213,11.309932474020213,0.0,0.075,0.8706759143100087,8.0,799.5,44.5,756.0
baseline,4,13,N2,sea,1,1,745.0,89.41168824543148,36.5,0.4082240333032184,26.56505117707799,26.56505117707799,0.0,0.10738255033557047,0.6458327916780466,8.0,100.0,44.0,53.5
baseline,4,14,N5,predated,0,1,110.0,12.485281374238573,39.0,3.1236780999161464,-106.69924423399362,106.69924423399362,3.0,0.5,0.9760525584482913,8.5,400.0,5.5,391.0
baseline,4,15,N2,sea,1,0,395.0,49.44112549695424,36.5,0.7382518021813346,-29.054604099077146,29.054604099077146,0.0,0.0,0.7649484251288003,8.0,100.0,44.5,77.0
baseline,4,16,N6,censored,0,1,1800.0,216.2289680818851,38.5,0.17805199895982574,29.054604099077146,29.054604099077146,0.0,0.29577464788732394,0.18943332129977203,8.0,500.0,37.5,480.5
baseline,4,17,N8,sea,1,1,815.0,96.51828996322978,37.0,0.3833470320920082,-41.18592516570965,41.18592516570965,0.0,0.14012738853503184,0.631898895061918,8.5,700.0,45.0,652.5
baseline,4,18,N2,sea,1,1,885.0,103.36143571373738,37.0,0.357967163908913,-36.86989764584402,36.86989764584402,0.0,0.10919540229885058,0.6385879649330772,7.5,100.0,43.5,29.5
baseline,4,19,N5,predated,0,1,620.0,72.92640687119284,39.5,0.5416419332131276,-119.05460409907714,119.05460409907714,6.0,0.33884297520661155,0.776462902736732,8.0,400.0,9.0,364.5
